,,マーチンゲール(10開始),マーチンゲール(2開始),定率(1%),定率(3%),定額(100),定額(300)
coin,count,100.0,100.0,100.0,100.0,100.0,100.0
coin,mean,9890.8,9564.4,9512.6,6380.3,10000.0,8697.0
coin,std,7134.8,3715.9,9.0,9.3,0.0,3378.9
coin,min,0.0,0.0,9490.0,6355.0,10000.0,0.0
coin,25%,0.0,10994.0,9506.8,6375.0,10000.0,10000.0
coin,50%,14970.0,10998.0,9512.0,6380.0,10000.0,10000.0
coin,75%,15000.0,11000.0,9517.0,6386.0,10000.0,10000.0
coin,max,15000.0,11000.0,9544.0,6402.0,10000.0,10000.0
