,,マーチンゲール(10開始),マーチンゲール(2開始),定率(1%),定率(3%),定額(100),定額(300)
coin,count,100.0,100.0,100.0,100.0,100.0,100.0
coin,mean,11390.4,10151.3,14172.2,21152.8,14000.0,22000.0
coin,std,6609.4,3008.7,12.5,17.0,0.0,0.0
coin,min,0.0,0.0,14145.0,21106.0,14000.0,22000.0
coin,25%,11347.5,11034.0,14163.0,21141.0,14000.0,22000.0
coin,50%,15190.0,11038.0,14171.0,21151.5,14000.0,22000.0
coin,75%,15200.0,11040.0,14180.2,21163.5,14000.0,22000.0
coin,max,15200.0,11040.0,14205.0,21206.0,14000.0,22000.0
